Name,Tag,Reef,Trip,Depth,Latitude,Longitude,Death,Death_date_left,Death_date_right,Residents,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Fish deaths count,Death in Rank 1 or 2,Recruitment,Area_1,Area_2,Area_3,Bleaching,Expansion score,Number of clutches laid per month,Notes
RB299_Trip0,RB299,First Reef South,0,12.3,-5.43413333,150.0921833,No,,,2,RB299_A,RB299_B,,,,0,No,2,514.895,1152.98,,No,0.75,,
RB300_Trip0,RB300,First Reef South,0,9.1,-5.4342,150.0921333,No,,,2,RB300_A,RB300_B,,,,0,No,2,444.256,346.688,,No,1,,
RB382_Trip0,RB382,Garbuna,0,7.3,-5.40635,150.08705,No,,,2,RB382_A,RB382_B,,,,0,No,2,309.128,367.498,,No,1,,
RB383_Trip0,RB383,Garbuna,0,8.5,-5.40633333,150.0871333,No,,,3,RB383_A,RB383_B,RB383_C,,,0,No,3,930.495,814.426,,No,1,,
RB384_Trip0,RB384,Garbuna,0,7.5,-5.40636667,150.0871167,No,,,3,RB384_A,RB384_B,RB384_C,,,0,No,3,624.131,1055.17,,No,1,,
RB385_Trip0,RB385,Garbuna,0,4.3,-5.40641667,150.0871333,No,,,3,RB385_A,RB385_B,RB385_C,,,0,No,3,705.674,895.003,,No,1,,
RB386_Trip0,RB386,Garbuna,0,6.9,-5.4070167,150.0870167,No,,,2,RB386_A,RB386_B,,,,0,No,2,269.575,577.109,,No,1,,
RB387_Trip0,RB387,Garbuna,0,16.9,-5.40715,150.0871167,No,,,3,RB387_A,RB387_B,RB387_C,,,0,No,3,2101.35,1780.29,,No,1,,
RB388_Trip0,RB388,Garbuna,0,12.2,-5.4071,150.087,No,,,2,RB388_A,RB388_B,,,,0,No,2,421.918,543.374,,No,1,,
RB389_Trip0,RB389,Garbuna,0,7.6,-5.4071667,150.0869,No,,,2,RB389_A,RB389_B,,,,0,No,2,119.462,212.568,,No,1,,
RB390_Trip0,RB390,Garbuna,0,13.5,-5.4072167,150.0869333,No,,,2,RB390_A,RB390_B,,,,0,No,2,125.21,185.368,,No,1,,
RB391_Trip0,RB391,Garbuna,0,13.1,-5.4072,150.0869167,No,,,3,RB391_A,RB391_B,RB391_C,,,0,No,3,841.628,1342.59,,No,1,,
RB392_Trip0,RB392,Garbuna,0,7,-5.4072,150.0868,No,,,3,RB392_A,RB392_B,RB392_C,,,1,No,3,1015.91,1413.07,,No,0.667,,
RB393_Trip0,RB393,Garbuna,0,6.2,-5.4071833,150.0867167,No,,,1,RB393_A,,,,,0,No,1,225.058,333.61,,No,1,,
RB394_Trip0,RB394,Garbuna,0,2.9,-5.4071667,150.0867667,No,,,2,RB394_A,RB394_B,,,,0,No,2,796.587,1105.95,,No,1,,
RB395_Trip0,RB395,Garbuna,0,4,-5.4074333,150.0865833,No,,,3,RB395_A,RB395_B,RB395_C,,,0,No,3,994.227,889.136,,No,1,,
RB396_Trip0,RB396,Garbuna,0,13,-5.40845,150.0880833,No,,,2,RB396_A,RB396_B,,,,0,No,2,931.511,661.411,,No,0.667,,
RB397_Trip0,RB397,Garbuna,0,6.9,-5.4086333,150.0881,No,,,2,RB397_A,RB397_B,,,,0,No,2,1568.14,1743.04,,No,0.667,,
RB398_Trip0,RB398,Garbuna,0,11.6,-5.4086333,150.0881333,No,,,2,RB398_A,RB398_B,,,,0,No,2,484.414,1083.47,,No,1,,
RB399_Trip0,RB399,Garbuna,0,9.9,-5.4087167,150.0880833,No,,,3,RB399_A,RB399_B,RB399_C,,,0,No,3,734.495,1122.7,,No,1,,
RB302_Trip0,RB302,Gavagava,0,4,-5.44285,150.0928667,No,,,2,RB302_A,RB302_B,,,,0,No,2,146.301,605.157,,No,0.75,,
RB344_Trip0,RB344,Gavagava,0,4.2,-5.4411,150.0926167,No,,,3,RB344_A,RB344_B,RB344_C,,,0,No,3,1786.18,1344.86,,No,1,,
RB345_Trip0,RB345,Gavagava,0,2,-5.4429,150.09295,No,,,2,RB345_A,RB345_B,,,,1,Yes,2,17.44,401.857,,Yes,0.75,,
RB351_Trip0,RB351,Gavagava,0,3.5,-5.44111667,150.0928167,No,,,2,RB351_A,RB351_B,,,,0,No,2,1364.34,2544.37,,No,0.75,,
RB352_Trip0,RB352,Gavagava,0,3.5,-5.44113333,150.0928167,No,,,3,RB352_A,RB352_B,RB352_C,,,0,No,3,2968.66,3172.95,,No,0.75,,
RB353_Trip0,RB353,Gavagava,0,3.9,-5.44125,150.0928,No,,,3,RB353_A,RB353_B,RB353_C,,,0,No,3,2724.14,1985.49,,No,1,,
RB354_Trip0,RB354,Gavagava,0,5.3,-5.4421,150.09265,No,,,3,RB354_A,RB354_B,RB354_C,,,0,No,3,475.36,1291.67,,No,1,,
RB355_Trip0,RB355,Gavagava,0,13.5,-5.44226667,150.0928167,No,,,3,RB355_A,RB355_B,RB355_C,,,0,No,3,726.522,1665.19,,No,1,,
RB356_Trip0,RB356,Gavagava,0,7.3,-5.44238333,150.0928,No,,,2,RB356_A,RB356_B,,,,0,No,2,532.801,536.417,,No,1,,
RB357_Trip0,RB357,Gavagava,0,3.5,-5.44253333,150.0928833,No,,,3,RB357_A,RB357_B,RB357_C,,,0,No,3,845.201,823.136,,Yes,1,,
RB371_Trip0,RB371,Gavagava,0,9.8,-5.44301667,150.0932333,No,,,3,RB371_A,RB371_B,RB371_C,,,0,No,3,627.11,1016.05,,No,1,,
RB372_Trip0,RB372,Gavagava,0,10,-5.44308333,150.0931833,No,,,2,RB372_A,RB372_B,,,,1,Yes,2,672.183,578.501,,No,1,,
RB373_Trip0,RB373,Gavagava,0,9.2,-5.44323333,150.0930833,No,,,3,RB373_A,RB373_B,RB373_C,,,0,No,3,1045.66,1359.99,,No,1,,
RB374_Trip0,RB374,Gavagava,0,10.4,-5.44323333,150.0930667,No,,,3,RB374_A,RB374_B,RB374_C,,,0,No,3,813.996,996.244,,No,1,,
RB375_Trip0,RB375,Gavagava,0,6.9,-5.44318333,150.09305,No,,,3,RB375_A,RB375_B,RB375_C,,,0,No,3,844.104,1060.56,,No,1,,
RB376_Trip0,RB376,Gavagava,0,5.6,-5.4431,150.0930167,No,,,3,RB376_A,RB376_B,RB376_C,,,1,Yes,3,140.712,1032.76,,No,1,,
RB377_Trip0,RB377,Gavagava,0,8.8,-5.44316667,150.0929333,No,,,3,RB377_A,RB377_B,RB377_C,,,0,No,3,502.12,276.754,,No,0.75,,
RB379_Trip0,RB379,Gavagava,0,9,-5.44281667,150.0926833,No,,,3,RB379_A,RB379_B,RB379_C,,,0,No,3,134.113,583.511,,No,0.75,,
RB201_Trip0,RB201,Hanging Gardens,0,6.1,-5.4265,150.0967667,No,,,2,RB201_A,RB201_B,,,,0,No,2,670.302,1410.52,,No,1,,
RB202_Trip0,RB202,Hanging Gardens,0,9.6,-5.42645,150.0966,No,,,2,RB202_A,RB202_B,,,,0,No,2,323.64,263.718,,No,1,,
RB203_Trip0,RB203,Hanging Gardens,0,4,-5.4264667,150.09655,No,,,3,RB203_A,RB203_B,RB203_C,,,0,No,3,1591.27,1829.22,,No,1,,
RB204_Trip0,RB204,Hanging Gardens,0,13,-5.4263333,150.0962333,No,,,3,RB204_A,RB204_B,RB204_C,,,0,No,3,1174.77,1449.92,,No,1,,
RB205_Trip0,RB205,Hanging Gardens,0,8.4,-5.4264333,150.0962167,No,,,2,RB205_A,RB205_B,,,,0,No,2,395.538,362.027,,No,1,,
RB206_Trip0,RB206,Hanging Gardens,0,13.8,-5.42715,150.0957667,No,,,3,RB206_A,RB206_B,RB206_C,,,0,No,3,1201.03,1251.06,,No,1,,
RB207_Trip0,RB207,Hanging Gardens,0,10.9,-5.4284333,150.0964333,No,,,2,RB207_A,RB207_B,,,,0,No,2,557.275,696.41,,No,1,,
RB208_Trip0,RB208,Hanging Gardens,0,9.1,-5.4284667,150.0966,No,,,3,RB208_A,RB208_B,RB208_C,,,0,No,3,1427.7,1812.85,,No,1,,
RB209_Trip0,RB209,Hanging Gardens,0,13.9,-5.42865,150.0966333,No,,,3,RB209_A,RB209_B,RB209_C,,,0,No,3,1530.93,1442.54,,No,1,,
RB210_Trip0,RB210,Hanging Gardens,0,4,-5.4286833,150.0968667,No,,,3,RB210_A,RB210_B,RB210_C,,,0,No,3,1279.14,1526.71,,No,1,,
RB211_Trip0,RB211,Hanging Gardens,0,8.9,-5.429,150.097,No,,,4,RB211_A,RB211_B,RB211_C,RB211_D,,1,No,4,1005.52,691.364,,No,1,,
RB212_Trip0,RB212,Hanging Gardens,0,11.7,-5.4290833,150.0970333,No,,,3,RB212_A,RB212_B,RB212_C,,,0,No,3,1284.47,1508.37,,No,0.667,,
RB213_Trip0,RB213,Hanging Gardens,0,12.1,-5.4289667,150.09705,No,,,5,RB213_A,RB213_B,RB213_C,RB213_D,RB213_E,0,No,5,1675.55,2408.98,,No,1,,
RB214_Trip0,RB214,Hanging Gardens,0,3.4,-5.4289,150.09715,No,,,3,RB214_A,RB214_B,RB214_C,,,0,No,3,2181.54,3083.66,,No,1,,
RB222_Trip0,RB222,Hanging Gardens,0,12.8,-5.4264333,150.0966167,No,,,2,RB222_A,RB222_B,,,,0,No,2,486.726,321.515,,No,1,,
RB223_Trip0,RB223,Hanging Gardens,0,16.1,-5.4263833,150.0966,No,,,3,RB223_A,RB223_B,RB223_C,,,0,No,3,1605.85,1299.35,,No,1,,
RB224_Trip0,RB224,Hanging Gardens,0,6.8,-5.4264833,150.09615,No,,,4,RB224_A,RB224_B,RB224_C,RB224_D,,1,No,4,775.55,1023.96,,No,1,,
RB225_Trip0,RB225,Hanging Gardens,0,2.3,-5.42775,150.09585,No,,,3,RB225_A,RB225_B,RB225_C,,,0,No,3,1317.48,1924.03,,Yes,1,,
RB246_Trip0,RB246,Hanging Gardens,0,7.1,-5.4281667,150.0963,No,,,3,RB246_A,RB246_B,RB246_C,,,0,No,3,1498.6,967.533,,No,1,,
RB101_Trip0,RB101,Lady Di,0,9.5,-5.44348333,150.0986667,No,,,3,RB101_A,RB101_B,RB101_C,,,0,No,3,795.48,1044.93,,No,1,,
RB102_Trip0,RB102,Lady Di,0,7.8,-5.44331667,150.09845,No,,,3,RB102_A,RB102_B,RB102_C,,,0,No,3,1437.87,1364.86,,No,1,,
