"qmap_id","basemap_id","description","h","target_dist","range","sill","SSErr","model","original_range"
60,6,"autocorr=215288, 1x25km patchy",1.85,"uniform",215288.48878773,1.2060237804625,0.000221110141379078,"Sph",9541.56017947219
61,2,"autocorr=16, 1x25km full",-0.95,"uniform",16.0160112432306,0.0749581948738976,0.0108316828309202,"Gau",14.3673554388746
62,6,"autocorr=14, 1x25km patchy",-0.95,"uniform",14.1185518995469,0.0509256506076255,0.000686936064816821,"Gau",14.3673554388746
63,2,"autocorr=5524, 1x25km full",1.05,"uniform",5524.44590302856,0.194793385723944,0.0036929970067626,"Gau",6409.35317388942
64,6,"autocorr=10214, 1x25km patchy",1.05,"uniform",10214.357041869,0.167470375645096,0.000236778778104781,"Exp",6409.35317388942
65,2,"autocorr=19950, 1x25km full",1.85,"uniform",19949.660148284,0.807601695633276,0.000825499926615781,"Gau",8682.87602819912
66,6,"autocorr=7997, 1x25km patchy",1.85,"uniform",7996.76654261288,0.11880802632718,0.000288807969780346,"Gau",8682.87602819912
67,2,"autocorr=4757, 1x25km full",1.05,"uniform",4757.22388507033,0.16130754041882,0.00526515583778466,"Gau",6234.78858808475
68,6,"autocorr=17900, 1x25km patchy",1.05,"uniform",17900.0893461789,0.137276083363302,0.000347844340864661,"Sph",6234.78858808475
69,2,"autocorr=274835, 1x25km full",1.05,"uniform",274835.449785051,2.55599505446068,0.00658361165999928,"Sph",4798.58068825848
70,6,"autocorr=38935, 1x25km patchy",1.05,"uniform",38935.147805166,0.237935836231903,0.000208370313649615,"Sph",4798.58068825848
71,2,"autocorr=15, 1x25km full",-0.95,"uniform",14.8885011401858,0.0835467482078484,0.00692911999534223,"Gau",14.31705416961
72,6,"autocorr=29, 1x25km patchy",-0.95,"uniform",28.9542664307234,0.0633953618662893,0.000385032805516064,"Sph",14.31705416961
73,2,"autocorr=5436, 1x25km full",1.05,"uniform",5436.06773408054,0.199997164169498,0.00242024356516839,"Gau",5189.85314060546
74,6,"autocorr=2230, 1x25km patchy",1.05,"uniform",2229.85200394982,0.10946292744979,0.000281036079708973,"Gau",5189.85314060546
75,2,"autocorr=14625, 1x25km full",1.85,"uniform",14625.4860463536,0.494147487501584,0.000961798729317753,"Gau",7413.56903228121
76,6,"autocorr=247182, 1x25km patchy",1.85,"uniform",247182.282118836,1.35952451688228,0.000255051447303183,"Sph",7413.56903228121
77,2,"autocorr=3851, 1x25km full",0.45,"uniform",3851.28859290392,0.13104903929902,0.00192810217872038,"Exp",2594.04986698868
78,6,"autocorr=1488, 1x25km patchy",0.45,"uniform",1488.4021436491,0.0848627993102915,0.000278964822109476,"Exp",2594.04986698868
79,2,"autocorr=4545, 1x25km full",1.05,"uniform",4544.59851335258,0.142227026545683,0.00423525542244424,"Gau",4503.67450237646
80,6,"autocorr=26310, 1x25km patchy",1.05,"uniform",26309.621311975,0.17618743657,0.000204364700911965,"Sph",4503.67450237646
81,2,"autocorr=6095, 1x25km full",1.85,"uniform",6094.80710523097,0.234601275389279,0.00504419844090197,"Gau",7150.34643158664
82,6,"autocorr=5626, 1x25km patchy",1.85,"uniform",5626.27562140227,0.130900935413678,0.000316995920951596,"Gau",7150.34643158664
83,2,"autocorr=1823, 1x25km full",0.45,"uniform",1822.71480074636,0.114628277022115,0.00516017011027235,"Exp",1394.8819628549
84,6,"autocorr=1965, 1x25km patchy",0.45,"uniform",1965.27105352598,0.103823399381483,0.000758197887944733,"Exp",1394.8819628549
85,2,"autocorr=14, 1x25km full",-0.95,"uniform",14.4997081619708,0.0841114675064367,0.00595763944325559,"Gau",14.3281345845129
86,6,"autocorr=12, 1x25km patchy",-0.95,"uniform",11.5782203167866,0.0716507528399764,0.00014424068481203,"Exp",14.3281345845129
87,2,"autocorr=2804, 1x25km full",0.45,"uniform",2804.4872645911,0.105481019683437,0.00301327894218389,"Exp",1647.11076487147
88,6,"autocorr=833, 1x25km patchy",0.45,"uniform",833.2307859369,0.0657426735079809,0.000280750816781627,"Exp",1647.11076487147
89,2,"autocorr=15, 1x25km full",-0.95,"uniform",14.8190853169439,0.0852266956025355,0.00623318401313741,"Gau",14.2788119164179
90,6,"autocorr=13, 1x25km patchy",-0.95,"uniform",12.6382500323507,0.0741451900352604,0.000268841009902016,"Exp",14.2788119164179
91,2,"autocorr=250392, 1x25km full",0.45,"uniform",250391.825092155,3.46613992653949,0.00620675376767214,"Exp",1418.27205986829
92,6,"autocorr=1706, 1x25km patchy",0.45,"uniform",1705.81196854742,0.0518347250677801,0.000694804881793143,"Exp",1418.27205986829
93,2,"autocorr=6566, 1x25km full",1.85,"uniform",6565.7066342925,0.244325797858584,0.00650786297703329,"Gau",8657.0221600753
94,6,"autocorr=5833, 1x25km patchy",1.85,"uniform",5833.42751030919,0.125731824519831,0.000320547498113789,"Gau",8657.0221600753
95,2,"autocorr=168588, 1x25km full",1.05,"uniform",168587.550274775,1.60894059571962,0.00879747624992356,"Sph",3971.31748050809
96,6,"autocorr=595835, 1x25km patchy",1.05,"uniform",595834.974770268,3.38744565681763,0.00010416687759229,"Sph",3971.31748050809
97,2,"autocorr=12822, 1x25km full",0.45,"uniform",12821.8214651006,0.237226315739995,0.00363773146998603,"Exp",2998.09348916568
98,6,"autocorr=1753, 1x25km patchy",0.45,"uniform",1752.59229055283,0.0784205394723706,0.000289665389151076,"Exp",2998.09348916568
99,2,"autocorr=20121, 1x25km full",1.85,"uniform",20121.4832986864,0.82481014321501,0.000980827614143971,"Gau",8590.63924118591
100,6,"autocorr=205841, 1x25km patchy",1.85,"uniform",205840.699280295,1.1532310520265,0.000286222637148018,"Sph",8590.63924118591
101,2,"autocorr=15, 1x25km full",-0.95,"uniform",15.1125669497035,0.0855795661060067,0.0069390399915066,"Gau",14.2918086144
102,6,"autocorr=12, 1x25km patchy",-0.95,"uniform",12.1037713994678,0.0724225643886649,0.000201941742175734,"Exp",14.2918086144
103,2,"autocorr=4805, 1x25km full",0.45,"uniform",4805.23252359438,0.131608363607711,0.00175416952939725,"Exp",2314.15835260764
104,6,"autocorr=955, 1x25km patchy",0.45,"uniform",954.598403929087,0.0814696064166762,0.000658194188379225,"Exp",2314.15835260764
105,2,"autocorr=19056, 1x25km full",1.85,"uniform",19056.1417992434,0.739335862501812,0.000998238257688244,"Gau",9172.42929407739
106,6,"autocorr=208604, 1x25km patchy",1.85,"uniform",208604.105635181,1.13137242975626,0.000269516988360553,"Sph",9172.42929407739
107,2,"autocorr=15, 1x25km full",-0.95,"uniform",15.1000609863066,0.0842272112729707,0.00672182755980724,"Gau",14.3379759819163
108,6,"autocorr=11, 1x25km patchy",-0.95,"uniform",11.1966755228515,0.0731142101753988,0.000305987888055712,"Exp",14.3379759819163
109,2,"autocorr=3411, 1x25km full",0.45,"uniform",3411.22856303905,0.114548483725327,0.00215921542336111,"Exp",3108.53439383625
110,6,"autocorr=1856, 1x25km patchy",0.45,"uniform",1856.11690303251,0.0757895080948162,0.000479132427260436,"Sph",3108.53439383625
111,2,"autocorr=5120, 1x25km full",1.05,"uniform",5119.77925934507,0.175657918946354,0.00395717965847428,"Gau",5295.59359132452
112,6,"autocorr=1717, 1x25km patchy",1.05,"uniform",1717.38357897985,0.0946747185464677,0.000290835752694637,"Gau",5295.59359132452
113,2,"autocorr=2225, 1x25km full",0.45,"uniform",2225.22492664767,0.109470564272444,0.00276545858249982,"Exp",1620.02760453783
114,6,"autocorr=1070, 1x25km patchy",0.45,"uniform",1069.87649741557,0.0796317446568226,0.00059424733208379,"Exp",1620.02760453783
115,2,"autocorr=3925, 1x25km full",1.05,"uniform",3925.4346432268,0.149695334976242,0.00874568903303216,"Gau",4024.62482377238
116,6,"autocorr=11278, 1x25km patchy",1.05,"uniform",11277.8007701181,0.124912401608873,0.000191657846656392,"Sph",4024.62482377238
117,2,"autocorr=7766, 1x25km full",1.85,"uniform",7766.48616327892,0.224949223856823,0.00168445582039403,"Gau",8531.86277034241
118,6,"autocorr=23650, 1x25km patchy",1.85,"uniform",23649.9055261472,0.161775707934152,0.000239070163749817,"Sph",8531.86277034241
119,2,"autocorr=15, 1x25km full",-0.95,"uniform",14.6991453397505,0.0848744012741337,0.00571974075184172,"Gau",14.3695119536675
120,6,"autocorr=11, 1x25km patchy",-0.95,"uniform",11.3717756013487,0.0787123819728882,0.000140564732652047,"Exp",14.3695119536675
121,2,"autocorr=15, 1x25km full",-0.95,"uniform",15.0956363745588,0.0858337170726437,0.00714678582962497,"Gau",14.3521901563233
122,6,"autocorr=11, 1x25km patchy",-0.95,"uniform",11.3968077406013,0.077824558099116,0.000113026527274629,"Exp",14.3521901563233
123,2,"autocorr=6617, 1x25km full",1.05,"uniform",6616.90847456573,0.185718852628354,0.00982705257495415,"Gau",6291.91986714018
124,6,"autocorr=202579, 1x25km patchy",1.05,"uniform",202578.613601739,1.08060043481267,0.000187389254470133,"Sph",6291.91986714018
125,2,"autocorr=184164, 1x25km full",1.05,"uniform",184164.07573,1.72425127191508,0.0132449353074647,"Sph",3985.28853556257
126,6,"autocorr=179525, 1x25km patchy",1.05,"uniform",179525.067854554,0.93453686031716,0.000245235107364089,"Sph",3985.28853556257
127,2,"autocorr=6443, 1x25km full",1.85,"uniform",6442.90250789176,0.212435194886706,0.00103871351315847,"Gau",9083.5615288503
128,6,"autocorr=20538, 1x25km patchy",1.85,"uniform",20538.4076899682,0.149239440107564,0.000351043181091996,"Sph",9083.5615288503
129,2,"autocorr=15, 1x25km full",-0.95,"uniform",14.7653190213573,0.0789252607717662,0.0108444045675306,"Gau",14.3098335146375
130,6,"autocorr=12, 1x25km patchy",-0.95,"uniform",11.9939552850229,0.0680265442031677,0.000304885304239312,"Exp",14.3098335146375
131,2,"autocorr=5991, 1x25km full",1.05,"uniform",5990.50023072702,0.183421977599349,0.00286393839484833,"Gau",4477.54731159938
132,6,"autocorr=3888, 1x25km patchy",1.05,"uniform",3887.95090713201,0.0978218326752439,0.000190556161828278,"Gau",4477.54731159938
133,2,"autocorr=3356, 1x25km full",0.45,"uniform",3356.47178997527,0.11648201230354,0.00697905721307665,"Exp",2379.22323263721
