"sim_id","progress"
21232774,0.22
69377524,0.18
18626042,0.16
61848056,0.19
60626929,0.19
43315288,0.2
89071541,0.18
61252624,0.2
55928921,0.18
57430693,0.2
41288576,0.2
16062761,0.21
12480801,0.17
57976484,0.22
47882658,0.21
65504200,0.19
16967921,0.23
61114182,0.25
55662112,0.24
50155557,0.18
74369667,0.22
68727355,0.21
44170549,0.21
93487849,0.2
28835297,0.17
93727620,0.18
79918531,0.18
35321085,0.16
7987384418,NA
42021996,0.21
94839268,0.2
20160672,0.2
13199328,0.21
93297111,0.17
98055190,0.12
40241447,0.19
90594191,0.18
31626673,0.22
98123479,0.17
12136194,0.2
12397798,0.18
85233840,0.19
33169908,0.19
86951839,0.19
52403915,0.17
81001717,0.17
77002033,0.26
12988417,0.21
28946057,0.17
55699208,0.17
94123653,0.18
37138599,0.18
15801599,0.22
32131139,0.24
64547048,0.2
56623134,0.19
23246328,0.19
11506518,0.22
50169129,0.21
80620799,0.17
11312501,0.19
20655804,0.14
55850741,0.24
81220160,0.22
57756831,0.23
92338873,0.2
86192710,0.2
92617889,0.18
23373311,0.16
21361754,0.2
62904759,0.21
40152614,0.2
53382017,0.25
90250075,0.22
77233458,0.25
33664308,0.24
28689036,0.19
55614679,0.19
90367225,0.2
55950642,0.18
55286040,0.21
23139240,0.22
52361580,0.19
88326222,0.19
11951937,0.2
63239127,0.18
40045309,0.15
36038322,0.15
74823775,0.15
48731922,0.15
64736926,0.15
86680697,0.14
37804984,0.14
72992654,0.15
78073531,0.14
36144227,0.18
21871061,0.14
14298520,0.14
81802825,0.14
83951490,0.16
93589745,0.16
48297407,0.12
20536965,0.12
31222906,0.15
59916695,0.2
19109064,0.2
31532556,0.18
89535196,0.16
31004469,0.16
94533082,0.19
30460561,0.19
91855847,0.19
73097933,0.19
93177940,0.14
35421875,0.14
47711703,0.14
48903484,0.14
65392392,0.21
43864302,0.2
30344514,0.16
51029453,0.25
42938269,0.23
88628254,0.21
78846647,0.16
76006456,0.17
29877282,0.21
39556429,0.2
89055753,0.08
36694892,0.19
19482350,0.16
54575308,0.16
77636603,0.16
90489987,0.16
93940404,0.16
60207930,0.16
81423507,0.16
17495617,0.15
98391643,0.15
65798734,0.15
10621048,0.15
11576710,0.16
12740358,0.15
48726651,0.18
23141977,0.18
82533724,0.2
47363747,0.2
16124776,0.19
19823273,0.15
78667082,0.15
49823228,0.16
61898770,0.15
35431551,0.15
57195054,0.15
67521267,0.15
99682631,0.15
11050119,0.15
23619971,0.15
86211097,0.15
33214230,0.14
56044570,0.15
29576482,0.15
74591119,0.14
24480326,0.16
23466611,0.14
34893704,0.14
31991841,0.14
33113936,0.16
33447456,0.14
82091460,0.15
72941406,0.16
14337915,0.16
17358246,0.15
42230376,0.16
84516319,0.18
38108673,0.18
16914894,0.18
55467441,0.18
31894550,0.18
11924185,0.18
15685052,0.15
51735806,0.15
40808328,0.16
58933600,0.16
50176796,0.15
58406180,0.16
66100573,0.19
86539993,0.19
63529872,0.19
81215160,0.19
40653915,0.14
62107690,0.14
70598812,0.16
19029919,0.15
48893921,0.15
38861249,0.16
57502460,0.16
17674436,0.16
34296818,0.19
49054827,0.19
60321185,0.16
52549771,0.13
93607795,0.13
42413482,0.17
82149211,0.17
97077189,0.16
41751366,0.15
87772954,0.16
96140599,0.15
25295558,0.15
57092342,0.16
85620934,0.17
54125932,0.17
70791053,0.17
21586267,0.16
72826972,0.18
17864079,0.16
16525175,0.18
27273826,0.17
89175843,0.16
88992212,0.18
35777701,0.16
17667736,0.16
52455906,0.16
12359705,0.12
56849580,0.12
51094329,0.11
78051546,0.11
80774779,0.16
30630514,0.16
30801159,0.15
99264880,0.14
23425388,0.16
46890072,0.15
94496370,0.15
20018969,0.16
18817863,0.17
85577753,0.16
54073162,0.19
78781454,0.18
59484588,0.21
27415088,0.2
40690323,0.16
84944392,0.16
21427607,0.2
15401450,0.16
93996205,0.16
56674829,0.15
99380939,0.16
94368306,0.15
67050191,0.16
54091546,0.15
70067886,0.16
38905516,0.16
15361401,0.16
46546474,0.16
52998362,0.16
90815926,0.15
72110697,0.15
86750650,0.16
60184817,0.16
59577956,0.15
32224157,0.15
26482397,0.21
71726018,0.16
95755633,0.16
11999191,0.16
55515915,0.16
40489041,0.16
53067050,0.15
35533292,0.15
26256940,0.15
51014992,0.16
36748424,0.16
36167732,0.14
54781078,0.14
38005942,0.16
50770069,0.13
61177144,0.15
68765220,0.18
42603346,0.14
29493597,0.16
25391518,0.12
78815274,0.17
32336463,0.16
88192959,0.16
17139416,0.16
92651479,0.15
46286093,0.15
98979875,0.14
90373807,0.16
37754068,0.15
53192876,0.14
82622373,0.13
71319336,0.16
42130106,0.14
83725155,0.16
14457916,0.15
52987241,0.05
64906012,0.05
93220715,0.16
43773567,0.15
59975353,0.15
79826794,0.16
24758332,0.14
42351619,0.17
18260934,0.16
52152452,0.15
41181882,0.13
93139796,0.13
84702287,0.16
26545134,0.15
43306344,0.16
69598204,0.15
68120025,0.14
39241851,0.14
57958582,0.15
72667671,0.13
28492047,0.15
37634992,0.15
10517432,0.15
33485236,0.13
28232011,0.13
73461515,0.15
66184492,0.13
78552108,0.16
40552907,0.17
11855793,0.2
95558037,0.16
37567182,0.15
21485659,0.16
59758240,0.15
63431822,0.15
62081519,0.1
68313288,0.16
13115013,0.17
70601972,0.17
29070515,0.18
43389001,0.17
48067753,0.15
80027888,0.15
18404001,0.15
32478558,0.14
75247275,0.14
37305870,0.11
88553679,0.11
87894808,0.13
19779394,0.15
94723507,0.15
91956768,0.14
93365261,0.13
44706408,0.14
18501174,0.14
17394586,0.14
70484621,0.14
17121905,0.14
74822013,0.14
65437936,0.13
46314206,0.13
63207499,0.13
67879573,0.13
62628620,0.13
22829215,0.18
67863851,0.15
47260862,0.15
84970041,0.16
28731871,0.14
27359285,0.14
55414597,0.14
50052642,0.12
17814075,0.14
83437049,0.14
50101647,0.15
98305957,0.15
62724976,0.15
78703071,0.15
90579923,0.14
41798634,0.14
77149915,0.16
87913793,0.14
48745622,0.15
54365862,0.14
91220823,0.15
24922085,0.16
12983767,0.18
21205462,0.14
58173561,0.14
57546666,0.14
96379567,0.14
55060439,0.15
81909231,0.14
